"visiting_team","home_team","week","day","date","wiki_visitor","wiki_home","wiki_diff"
"Steelers","Patriots",1,"Thursday",2015-09-10 20:30:00,72.9242,83.5322,10.608
"Packers","Bears",1,"Sunday",2015-09-13 13:00:00,91.0903,28.9111,-62.1792
"Colts","Bills",1,"Sunday",2015-09-13 13:00:00,78.7696,48.4706,-30.299
"Panthers","Jaguars",1,"Sunday",2015-09-13 13:00:00,50.4359,9.52955,-40.90635
"Browns","Jets",1,"Sunday",2015-09-13 13:00:00,20.339,27.887,7.548
"Seahawks","Rams",1,"Sunday",2015-09-13 13:00:00,91.0867,42.0307,-49.056
"Dolphins","Redskins",1,"Sunday",2015-09-13 13:00:00,57.9202,13.7972,-44.123
"Chiefs","Texans",1,"Sunday",2015-09-13 13:00:00,58.0986,50.6555,-7.44309999999999
"Saints","Cardinals",1,"Sunday",2015-09-13 16:05:00,42.7689,63.9423,21.1734
"Lions","Chargers",1,"Sunday",2015-09-13 16:05:00,52.046,56.3702,4.3242
"Ravens","Broncos",1,"Sunday",2015-09-13 16:25:00,70.5379,76.6355,6.0976
"Titans","Buccaneers",1,"Sunday",2015-09-13 16:25:00,17.5174,18.481,0.963600000000003
"Bengals","Raiders",1,"Sunday",2015-09-13 16:25:00,49.3734,22.155,-27.2184
"Giants","Cowboys",1,"Sunday",2015-09-13 20:30:00,40.4206,72.8814,32.4608
"Eagles","Falcons",1,"Monday",2015-09-14 19:10:00,57.7576,44.0722,-13.6854
"Vikings","49ers",1,"Monday",2015-09-14 22:20:00,56.7237,30.5814,-26.1423
"Broncos","Chiefs",2,"Thursday",2015-09-17 20:25:00,76.6355,58.0986,-18.5369
"Cardinals","Bears",2,"Sunday",2015-09-20 13:00:00,63.9423,28.9111,-35.0312
"Chargers","Bengals",2,"Sunday",2015-09-20 13:00:00,56.3702,49.3734,-6.9968
"Patriots","Bills",2,"Sunday",2015-09-20 13:00:00,83.5322,48.4706,-35.0616
"Titans","Browns",2,"Sunday",2015-09-20 13:00:00,17.5174,20.339,2.8216
"Falcons","Giants",2,"Sunday",2015-09-20 13:00:00,44.0722,40.4206,-3.6516
"Texans","Panthers",2,"Sunday",2015-09-20 13:00:00,50.6555,50.4359,-0.219600000000007
"Rams","Redskins",2,"Sunday",2015-09-20 13:00:00,42.0307,13.7972,-28.2335
"Buccaneers","Saints",2,"Sunday",2015-09-20 13:00:00,18.481,42.7689,24.2879
"49ers","Steelers",2,"Sunday",2015-09-20 13:00:00,30.5814,72.9242,42.3428
"Lions","Vikings",2,"Sunday",2015-09-20 13:00:00,52.046,56.7237,4.6777
"Dolphins","Jaguars",2,"Sunday",2015-09-20 16:05:00,57.9202,9.52955,-48.39065
"Ravens","Raiders",2,"Sunday",2015-09-20 16:05:00,70.5379,22.155,-48.3829
"Cowboys","Eagles",2,"Sunday",2015-09-20 16:25:00,72.8814,57.7576,-15.1238
"Seahawks","Packers",2,"Sunday",2015-09-20 20:30:00,91.0867,91.0903,0.00360000000000582
"Jets","Colts",2,"Monday",2015-09-21 20:30:00,27.887,78.7696,50.8826
"Redskins","Giants",3,"Thursday",2015-09-24 20:25:00,13.7972,40.4206,26.6234
"Raiders","Browns",3,"Sunday",2015-09-27 13:00:00,22.155,20.339,-1.816
"Falcons","Cowboys",3,"Sunday",2015-09-27 13:00:00,44.0722,72.8814,28.8092
"Eagles","Jets",3,"Sunday",2015-09-27 13:00:00,57.7576,27.887,-29.8706
"Saints","Panthers",3,"Sunday",2015-09-27 13:00:00,42.7689,50.4359,7.66699999999999
"Jaguars","Patriots",3,"Sunday",2015-09-27 13:00:00,9.52955,83.5322,74.00265
"Steelers","Rams",3,"Sunday",2015-09-27 13:00:00,72.9242,42.0307,-30.8935
"Bengals","Ravens",3,"Sunday",2015-09-27 13:00:00,49.3734,70.5379,21.1645
"Buccaneers","Texans",3,"Sunday",2015-09-27 13:00:00,18.481,50.6555,32.1745
"Colts","Titans",3,"Sunday",2015-09-27 13:00:00,78.7696,17.5174,-61.2522
"Chargers","Vikings",3,"Sunday",2015-09-27 13:00:00,56.3702,56.7237,0.353500000000004
"49ers","Cardinals",3,"Sunday",2015-09-27 16:05:00,30.5814,63.9423,33.3609
"Bills","Dolphins",3,"Sunday",2015-09-27 16:25:00,48.4706,57.9202,9.4496
"Bears","Seahawks",3,"Sunday",2015-09-27 16:25:00,28.9111,91.0867,62.1756
"Broncos","Lions",3,"Sunday",2015-09-27 20:30:00,76.6355,52.046,-24.5895
"Chiefs","Packers",3,"Monday",2015-09-28 20:30:00,58.0986,91.0903,32.9917
"Ravens","Steelers",4,"Thursday",2015-10-01 20:25:00,70.5379,72.9242,2.38630000000001
"Jets","Dolphins",4,"Sunday",2015-10-04 09:30:00,27.887,57.9202,30.0332
"Raiders","Bears",4,"Sunday",2015-10-04 13:00:00,22.155,28.9111,6.7561
"Chiefs","Bengals",4,"Sunday",2015-10-04 13:00:00,58.0986,49.3734,-8.7252
"Giants","Bills",4,"Sunday",2015-10-04 13:00:00,40.4206,48.4706,8.05
"Panthers","Buccaneers",4,"Sunday",2015-10-04 13:00:00,50.4359,18.481,-31.9549
"Jaguars","Colts",4,"Sunday",2015-10-04 13:00:00,9.52955,78.7696,69.24005
"Texans","Falcons",4,"Sunday",2015-10-04 13:00:00,50.6555,44.0722,-6.5833
"Eagles","Redskins",4,"Sunday",2015-10-04 13:00:00,57.7576,13.7972,-43.9604
"Browns","Chargers",4,"Sunday",2015-10-04 16:05:00,20.339,56.3702,36.0312
"Packers","49ers",4,"Sunday",2015-10-04 16:25:00,91.0903,30.5814,-60.5089
"Vikings","Broncos",4,"Sunday",2015-10-04 16:25:00,56.7237,76.6355,19.9118
"Rams","Cardinals",4,"Sunday",2015-10-04 16:25:00,42.0307,63.9423,21.9116
"Cowboys","Saints",4,"Sunday",2015-10-04 20:30:00,72.8814,42.7689,-30.1125
"Lions","Seahawks",4,"Monday",2015-10-05 20:30:00,52.046,91.0867,39.0407
"Colts","Texans",5,"Thursday",2015-10-08 20:25:00,78.7696,50.6555,-28.1141
"Seahawks","Bengals",5,"Sunday",2015-10-11 13:00:00,91.0867,49.3734,-41.7133
"Jaguars","Buccaneers",5,"Sunday",2015-10-11 13:00:00,9.52955,18.481,8.95145
"Bears","Chiefs",5,"Sunday",2015-10-11 13:00:00,28.9111,58.0986,29.1875
"Saints","Eagles",5,"Sunday",2015-10-11 13:00:00,42.7689,57.7576,14.9887
"Redskins","Falcons",5,"Sunday",2015-10-11 13:00:00,13.7972,44.0722,30.275
"Rams","Packers",5,"Sunday",2015-10-11 13:00:00,42.0307,91.0903,49.0596
"Browns","Ravens",5,"Sunday",2015-10-11 13:00:00,20.339,70.5379,50.1989
"Bills","Titans",5,"Sunday",2015-10-11 13:00:00,48.4706,17.5174,-30.9532
"Cardinals","Lions",5,"Sunday",2015-10-11 16:05:00,63.9423,52.046,-11.8963
"Patriots","Cowboys",5,"Sunday",2015-10-11 16:25:00,83.5322,72.8814,-10.6508
"Broncos","Raiders",5,"Sunday",2015-10-11 16:25:00,76.6355,22.155,-54.4805
"49ers","Giants",5,"Sunday",2015-10-11 20:30:00,30.5814,40.4206,9.8392
"Steelers","Chargers",5,"Monday",2015-10-12 20:30:00,72.9242,56.3702,-16.554
"Falcons","Saints",6,"Thursday",2015-10-15 20:25:00,44.0722,42.7689,-1.3033
"Bengals","Bills",6,"Sunday",2015-10-18 13:00:00,49.3734,48.4706,-0.902799999999999
"Broncos","Browns",6,"Sunday",2015-10-18 13:00:00,76.6355,20.339,-56.2965
"Texans","Jaguars",6,"Sunday",2015-10-18 13:00:00,50.6555,9.52955,-41.12595
"Redskins","Jets",6,"Sunday",2015-10-18 13:00:00,13.7972,27.887,14.0898
"Bears","Lions",6,"Sunday",2015-10-18 13:00:00,28.9111,52.046,23.1349
"Cardinals","Steelers",6,"Sunday",2015-10-18 13:00:00,63.9423,72.9242,8.9819
"Dolphins","Titans",6,"Sunday",2015-10-18 13:00:00,57.9202,17.5174,-40.4028
"Chiefs","Vikings",6,"Sunday",2015-10-18 13:00:00,58.0986,56.7237,-1.3749
"Panthers","Seahawks",6,"Sunday",2015-10-18 16:05:00,50.4359,91.0867,40.6508
"Ravens","49ers",6,"Sunday",2015-10-18 16:25:00,70.5379,30.5814,-39.9565
"Chargers","Packers",6,"Sunday",2015-10-18 16:25:00,56.3702,91.0903,34.7201
"Patriots","Colts",6,"Sunday",2015-10-18 20:30:00,83.5322,78.7696,-4.76260000000001
"Giants","Eagles",6,"Monday",2015-10-19 20:30:00,40.4206,57.7576,17.337
"Seahawks","49ers",7,"Thursday",2015-10-22 20:25:00,91.0867,30.5814,-60.5053
"Bills","Jaguars",7,"Sunday",2015-10-25 09:30:00,48.4706,9.52955,-38.94105
"Steelers","Chiefs",7,"Sunday",2015-10-25 13:00:00,72.9242,58.0986,-14.8256
"Saints","Colts",7,"Sunday",2015-10-25 13:00:00,42.7689,78.7696,36.0007
"Texans","Dolphins",7,"Sunday",2015-10-25 13:00:00,50.6555,57.9202,7.2647
"Vikings","Lions",7,"Sunday",2015-10-25 13:00:00,56.7237,52.046,-4.6777
"Jets","Patriots",7,"Sunday",2015-10-25 13:00:00,27.887,83.5322,55.6452
"Browns","Rams",7,"Sunday",2015-10-25 13:00:00,20.339,42.0307,21.6917
"Buccaneers","Redskins",7,"Sunday",2015-10-25 13:00:00,18.481,13.7972,-4.6838
"Falcons","Titans",7,"Sunday",2015-10-25 13:00:00,44.0722,17.5174,-26.5548
"Raiders","Chargers",7,"Sunday",2015-10-25 16:05:00,22.155,56.3702,34.2152
"Cowboys","Giants",7,"Sunday",2015-10-25 16:25:00,72.8814,40.4206,-32.4608
"Eagles","Panthers",7,"Sunday",2015-10-25 20:30:00,57.7576,50.4359,-7.3217
"Ravens","Cardinals",7,"Monday",2015-10-26 20:30:00,70.5379,63.9423,-6.59559999999999
"Dolphins","Patriots",8,"Thursday",2015-10-29 20:25:00,57.9202,83.5322,25.612
"Lions","Chiefs",8,"Sunday",2015-11-01 09:30:00,52.046,58.0986,6.0526
"Vikings","Bears",8,"Sunday",2015-11-01 13:00:00,56.7237,28.9111,-27.8126
"Cardinals","Browns",8,"Sunday",2015-11-01 13:00:00,63.9423,20.339,-43.6033
"Buccaneers","Falcons",8,"Sunday",2015-11-01 13:00:00,18.481,44.0722,25.5912
"49ers","Rams",8,"Sunday",2015-11-01 13:00:00,30.5814,42.0307,11.4493
"Chargers","Ravens",8,"Sunday",2015-11-01 13:00:00,56.3702,70.5379,14.1677
"Giants","Saints",8,"Sunday",2015-11-01 13:00:00,40.4206,42.7689,2.3483
"Bengals","Steelers",8,"Sunday",2015-11-01 13:00:00,49.3734,72.9242,23.5508
"Titans","Texans",8,"Sunday",2015-11-01 13:00:00,17.5174,50.6555,33.1381
"Jets","Raiders",8,"Sunday",2015-11-01 16:05:00,27.887,22.155,-5.732
"Seahawks","Cowboys",8,"Sunday",2015-11-01 16:25:00,91.0867,72.8814,-18.2053
"Packers","Broncos",8,"Sunday",2015-11-01 20:30:00,91.0903,76.6355,-14.4548
"Colts","Panthers",8,"Monday",2015-11-02 20:30:00,78.7696,50.4359,-28.3337
"Browns","Bengals",9,"Thursday",2015-11-05 20:25:00,20.339,49.3734,29.0344
"Dolphins","Bills",9,"Sunday",2015-11-08 13:00:00,57.9202,48.4706,-9.4496
"Jaguars","Jets",9,"Sunday",2015-11-08 13:00:00,9.52955,27.887,18.35745
"Packers","Panthers",9,"Sunday",2015-11-08 13:00:00,91.0903,50.4359,-40.6544
"Redskins","Patriots",9,"Sunday",2015-11-08 13:00:00,13.7972,83.5322,69.735
"Titans","Saints",9,"Sunday",2015-11-08 13:00:00,17.5174,42.7689,25.2515
"Raiders","Steelers",9,"Sunday",2015-11-08 13:00:00,22.155,72.9242,50.7692
"Rams","Vikings",9,"Sunday",2015-11-08 13:00:00,42.0307,56.7237,14.693
"Falcons","49ers",9,"Sunday",2015-11-08 16:05:00,44.0722,30.5814,-13.4908
"Giants","Buccaneers",9,"Sunday",2015-11-08 16:05:00,40.4206,18.481,-21.9396
"Broncos","Colts",9,"Sunday",2015-11-08 16:25:00,76.6355,78.7696,2.1341
"Eagles","Cowboys",9,"Sunday",2015-11-08 20:30:00,57.7576,72.8814,15.1238
"Bears","Chargers",9,"Monday",2015-11-09 20:30:00,28.9111,56.3702,27.4591
"Bills","Jets",10,"Thursday",2015-11-12 20:25:00,48.4706,27.887,-20.5836
"Cowboys","Buccaneers",10,"Sunday",2015-11-15 13:00:00,72.8814,18.481,-54.4004
"Dolphins","Eagles",10,"Sunday",2015-11-15 13:00:00,57.9202,57.7576,-0.162600000000005
"Lions","Packers",10,"Sunday",2015-11-15 13:00:00,52.046,91.0903,39.0443
"Bears","Rams",10,"Sunday",2015-11-15 13:00:00,28.9111,42.0307,13.1196
"Jaguars","Ravens",10,"Sunday",2015-11-15 13:00:00,9.52955,70.5379,61.00835
"Saints","Redskins",10,"Sunday",2015-11-15 13:00:00,42.7689,13.7972,-28.9717
"Browns","Steelers",10,"Sunday",2015-11-15 13:00:00,20.339,72.9242,52.5852
"Panthers","Titans",10,"Sunday",2015-11-15 13:00:00,50.4359,17.5174,-32.9185
"Vikings","Raiders",10,"Sunday",2015-11-15 16:05:00,56.7237,22.155,-34.5687
"Chiefs","Broncos",10,"Sunday",2015-11-15 16:25:00,58.0986,76.6355,18.5369
"Patriots","Giants",10,"Sunday",2015-11-15 16:25:00,83.5322,40.4206,-43.1116
"Cardinals","Seahawks",10,"Sunday",2015-11-15 20:30:00,63.9423,91.0867,27.1444
"Texans","Bengals",10,"Monday",2015-11-16 20:30:00,50.6555,49.3734,-1.28210000000001
"Titans","Jaguars",11,"Thursday",2015-11-19 20:25:00,17.5174,9.52955,-7.98785
"Broncos","Bears",11,"Sunday",2015-11-22 13:00:00,76.6355,28.9111,-47.7244
"Cowboys","Dolphins",11,"Sunday",2015-11-22 13:00:00,72.8814,57.9202,-14.9612
"Buccaneers","Eagles",11,"Sunday",2015-11-22 13:00:00,18.481,57.7576,39.2766
"Colts","Falcons",11,"Sunday",2015-11-22 13:00:00,78.7696,44.0722,-34.6974
"Raiders","Lions",11,"Sunday",2015-11-22 13:00:00,22.155,52.046,29.891
"Redskins","Panthers",11,"Sunday",2015-11-22 13:00:00,13.7972,50.4359,36.6387
"Rams","Ravens",11,"Sunday",2015-11-22 13:00:00,42.0307,70.5379,28.5072
"Jets","Texans",11,"Sunday",2015-11-22 13:00:00,27.887,50.6555,22.7685
"Packers","Vikings",11,"Sunday",2015-11-22 13:00:00,91.0903,56.7237,-34.3666
"Bengals","Cardinals",11,"Sunday",2015-11-22 16:05:00,49.3734,63.9423,14.5689
"49ers","Seahawks",11,"Sunday",2015-11-22 16:25:00,30.5814,91.0867,60.5053
"Chiefs","Chargers",11,"Sunday",2015-11-22 20:30:00,58.0986,56.3702,-1.7284
"Bills","Patriots",11,"Monday",2015-11-23 20:30:00,48.4706,83.5322,35.0616
"Eagles","Lions",12,"Thursday",2015-11-26 12:30:00,57.7576,52.046,-5.7116
"Panthers","Cowboys",12,"Thursday",2015-11-26 16:30:00,50.4359,72.8814,22.4455
"Bears","Packers",12,"Thursday",2015-11-26 20:30:00,28.9111,91.0903,62.1792
"Rams","Bengals",12,"Sunday",2015-11-29 13:00:00,42.0307,49.3734,7.34269999999999
"Bills","Chiefs",12,"Sunday",2015-11-29 13:00:00,48.4706,58.0986,9.628
"Buccaneers","Colts",12,"Sunday",2015-11-29 13:00:00,18.481,78.7696,60.2886
"Vikings","Falcons",12,"Sunday",2015-11-29 13:00:00,56.7237,44.0722,-12.6515
"Chargers","Jaguars",12,"Sunday",2015-11-29 13:00:00,56.3702,9.52955,-46.84065
"Dolphins","Jets",12,"Sunday",2015-11-29 13:00:00,57.9202,27.887,-30.0332
"Giants","Redskins",12,"Sunday",2015-11-29 13:00:00,40.4206,13.7972,-26.6234
"Saints","Texans",12,"Sunday",2015-11-29 13:00:00,42.7689,50.6555,7.8866
"Raiders","Titans",12,"Sunday",2015-11-29 13:00:00,22.155,17.5174,-4.6376
"Cardinals","49ers",12,"Sunday",2015-11-29 16:05:00,63.9423,30.5814,-33.3609
"Steelers","Seahawks",12,"Sunday",2015-11-29 16:25:00,72.9242,91.0867,18.1625
"Patriots","Broncos",12,"Sunday",2015-11-29 20:30:00,83.5322,76.6355,-6.89670000000001
"Ravens","Browns",12,"Monday",2015-11-30 20:30:00,70.5379,20.339,-50.1989
"Packers","Lions",13,"Thursday",2015-12-03 20:25:00,91.0903,52.046,-39.0443
"49ers","Bears",13,"Sunday",2015-12-06 13:00:00,30.5814,28.9111,-1.6703
"Texans","Bills",13,"Sunday",2015-12-06 13:00:00,50.6555,48.4706,-2.18490000000001
"Bengals","Browns",13,"Sunday",2015-12-06 13:00:00,49.3734,20.339,-29.0344
"Falcons","Buccaneers",13,"Sunday",2015-12-06 13:00:00,44.0722,18.481,-25.5912
"Ravens","Dolphins",13,"Sunday",2015-12-06 13:00:00,70.5379,57.9202,-12.6177
"Jets","Giants",13,"Sunday",2015-12-06 13:00:00,27.887,40.4206,12.5336
"Cardinals","Rams",13,"Sunday",2015-12-06 13:00:00,63.9423,42.0307,-21.9116
"Panthers","Saints",13,"Sunday",2015-12-06 13:00:00,50.4359,42.7689,-7.66699999999999
"Jaguars","Titans",13,"Sunday",2015-12-06 13:00:00,9.52955,17.5174,7.98785
"Seahawks","Vikings",13,"Sunday",2015-12-06 13:00:00,91.0867,56.7237,-34.363
"Broncos","Chargers",13,"Sunday",2015-12-06 16:05:00,76.6355,56.3702,-20.2653
"Chiefs","Raiders",13,"Sunday",2015-12-06 16:05:00,58.0986,22.155,-35.9436
"Eagles","Patriots",13,"Sunday",2015-12-06 16:25:00,57.7576,83.5322,25.7746
"Colts","Steelers",13,"Sunday",2015-12-06 20:30:00,78.7696,72.9242,-5.8454
"Cowboys","Redskins",13,"Monday",2015-12-07 20:30:00,72.8814,13.7972,-59.0842
"Vikings","Cardinals",14,"Thursday",2015-12-10 20:25:00,56.7237,63.9423,7.2186
"Redskins","Bears",14,"Sunday",2015-12-13 13:00:00,13.7972,28.9111,15.1139
"Steelers","Bengals",14,"Sunday",2015-12-13 13:00:00,72.9242,49.3734,-23.5508
"49ers","Browns",14,"Sunday",2015-12-13 13:00:00,30.5814,20.339,-10.2424
"Saints","Buccaneers",14,"Sunday",2015-12-13 13:00:00,42.7689,18.481,-24.2879
"Chargers","Chiefs",14,"Sunday",2015-12-13 13:00:00,56.3702,58.0986,1.7284
"Bills","Eagles",14,"Sunday",2015-12-13 13:00:00,48.4706,57.7576,9.287
"Colts","Jaguars",14,"Sunday",2015-12-13 13:00:00,78.7696,9.52955,-69.24005
"Titans","Jets",14,"Sunday",2015-12-13 13:00:00,17.5174,27.887,10.3696
"Falcons","Panthers",14,"Sunday",2015-12-13 13:00:00,44.0722,50.4359,6.36369999999999
"Lions","Rams",14,"Sunday",2015-12-13 13:00:00,52.046,42.0307,-10.0153
"Patriots","Texans",14,"Sunday",2015-12-13 13:00:00,83.5322,50.6555,-32.8767
"Raiders","Broncos",14,"Sunday",2015-12-13 16:05:00,22.155,76.6355,54.4805
"Cowboys","Packers",14,"Sunday",2015-12-13 16:25:00,72.8814,91.0903,18.2089
"Seahawks","Ravens",14,"Sunday",2015-12-13 20:30:00,91.0867,70.5379,-20.5488
"Giants","Dolphins",14,"Monday",2015-12-14 20:30:00,40.4206,57.9202,17.4996
"Buccaneers","Rams",15,"Thursday",2015-12-17 20:25:00,18.481,42.0307,23.5497
"Jets","Cowboys",15,"Saturday",2015-12-19 20:25:00,27.887,72.8814,44.9944
"Texans","Colts",15,"Sunday",2015-12-20 13:00:00,50.6555,78.7696,28.1141
"Cardinals","Eagles",15,"Sunday",2015-12-20 13:00:00,63.9423,57.7576,-6.18470000000001
"Panthers","Giants",15,"Sunday",2015-12-20 13:00:00,50.4359,40.4206,-10.0153
"Falcons","Jaguars",15,"Sunday",2015-12-20 13:00:00,44.0722,9.52955,-34.54265
"Titans","Patriots",15,"Sunday",2015-12-20 13:00:00,17.5174,83.5322,66.0148
"Chiefs","Ravens",15,"Sunday",2015-12-20 13:00:00,58.0986,70.5379,12.4393
"Bills","Redskins",15,"Sunday",2015-12-20 13:00:00,48.4706,13.7972,-34.6734
"Bears","Vikings",15,"Sunday",2015-12-20 13:00:00,28.9111,56.7237,27.8126
"Packers","Raiders",15,"Sunday",2015-12-20 16:05:00,91.0903,22.155,-68.9353
"Browns","Seahawks",15,"Sunday",2015-12-20 16:05:00,20.339,91.0867,70.7477
"Dolphins","Chargers",15,"Sunday",2015-12-20 16:25:00,57.9202,56.3702,-1.55
"Broncos","Steelers",15,"Sunday",2015-12-20 16:25:00,76.6355,72.9242,-3.71129999999999
"Bengals","49ers",15,"Sunday",2015-12-20 20:30:00,49.3734,30.5814,-18.792
"Lions","Saints",15,"Monday",2015-12-21 20:30:00,52.046,42.7689,-9.2771
"Chargers","Raiders",16,"Thursday",2015-12-24 20:25:00,56.3702,22.155,-34.2152
"Redskins","Eagles",16,"Saturday",2015-12-26 20:25:00,13.7972,57.7576,43.9604
"Cowboys","Bills",16,"Sunday",2015-12-27 13:00:00,72.8814,48.4706,-24.4108
"Bears","Buccaneers",16,"Sunday",2015-12-27 13:00:00,28.9111,18.481,-10.4301
"Browns","Chiefs",16,"Sunday",2015-12-27 13:00:00,20.339,58.0986,37.7596
"Colts","Dolphins",16,"Sunday",2015-12-27 13:00:00,78.7696,57.9202,-20.8494
"Panthers","Falcons",16,"Sunday",2015-12-27 13:00:00,50.4359,44.0722,-6.36369999999999
"Patriots","Jets",16,"Sunday",2015-12-27 13:00:00,83.5322,27.887,-55.6452
"49ers","Lions",16,"Sunday",2015-12-27 13:00:00,30.5814,52.046,21.4646
"Jaguars","Saints",16,"Sunday",2015-12-27 13:00:00,9.52955,42.7689,33.23935
"Texans","Titans",16,"Sunday",2015-12-27 13:00:00,50.6555,17.5174,-33.1381
"Giants","Vikings",16,"Sunday",2015-12-27 13:00:00,40.4206,56.7237,16.3031
"Packers","Cardinals",16,"Sunday",2015-12-27 16:25:00,91.0903,63.9423,-27.148
"Rams","Seahawks",16,"Sunday",2015-12-27 16:25:00,42.0307,91.0867,49.056
"Steelers","Ravens",16,"Sunday",2015-12-27 20:30:00,72.9242,70.5379,-2.38630000000001
"Bengals","Broncos",16,"Monday",2015-12-28 20:30:00,49.3734,76.6355,27.2621
"Lions","Bears",17,"Sunday",2016-01-03 13:00:00,52.046,28.9111,-23.1349
"Ravens","Bengals",17,"Sunday",2016-01-03 13:00:00,70.5379,49.3734,-21.1645
"Jets","Bills",17,"Sunday",2016-01-03 13:00:00,27.887,48.4706,20.5836
"Steelers","Browns",17,"Sunday",2016-01-03 13:00:00,72.9242,20.339,-52.5852
"Raiders","Chiefs",17,"Sunday",2016-01-03 13:00:00,22.155,58.0986,35.9436
"Titans","Colts",17,"Sunday",2016-01-03 13:00:00,17.5174,78.7696,61.2522
"Redskins","Cowboys",17,"Sunday",2016-01-03 13:00:00,13.7972,72.8814,59.0842
"Patriots","Dolphins",17,"Sunday",2016-01-03 13:00:00,83.5322,57.9202,-25.612
"Saints","Falcons",17,"Sunday",2016-01-03 13:00:00,42.7689,44.0722,1.3033
"Eagles","Giants",17,"Sunday",2016-01-03 13:00:00,57.7576,40.4206,-17.337
"Vikings","Packers",17,"Sunday",2016-01-03 13:00:00,56.7237,91.0903,34.3666
"Buccaneers","Panthers",17,"Sunday",2016-01-03 13:00:00,18.481,50.4359,31.9549
"Jaguars","Texans",17,"Sunday",2016-01-03 13:00:00,9.52955,50.6555,41.12595
"Rams","49ers",17,"Sunday",2016-01-03 16:25:00,42.0307,30.5814,-11.4493
"Chargers","Broncos",17,"Sunday",2016-01-03 16:25:00,56.3702,76.6355,20.2653
"Seahawks","Cardinals",17,"Sunday",2016-01-03 16:25:00,91.0867,63.9423,-27.1444
